Z,track_ID,latitude,longitude,bit_rate,duration,track_listens,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_hotttnesss,artist_discovery,artist_familiarity,senti neg,senti pos,popular
34,27565,0,0,229810,185,1589,0.818466783,0.545501829,0.62510243,0.814519913,0.111942677,0.049287698,159.946,0.715082674,0.258233,0.247188571,0.183638,0,0,1
35,27566,0,0,265217,210,841,0.938800252,0.794586143,0.781781693,0.950473252,0.109731414,0.049823135,103.037,0.763163427,0.258233,0.247188571,0.183638,0,0,0
36,27567,0,0,260212,219,1049,0.974837979,0.838317095,0.822948022,0.959765105,0.157525727,0.079854543,124.098,0.962944471,0.258233,0.247188571,0.183638,0,0,0
37,27568,0,0,232165,174,838,0.563119222,0.550217999,0.713832273,0.759101771,0.116565771,0.034225151,145.058,0.767050101,0.258233,0.247188571,0.183638,0.756,0,0
38,27569,0,0,218680,155,746,0.96057674,0.897166674,0.517933159,0.938426025,0.123022193,0.31074678,137.958,0.97585583,0.258233,0.247188571,0.183638,0,0,0
39,27570,0,0,235401,171,902,0.357426557,0.725810412,0.938011479,0.849783592,0.087794671,0.071517154,133.076,0.855111061,0.258233,0.247188571,0.183638,0,0,0
40,27571,0,0,229557,205,912,0.089938952,0.575616205,0.922455009,0.649712959,0.353062142,0.057471146,165.106,0.89808389,0.258233,0.247188571,0.183638,0,0,0
41,27572,0,0,180311,174,1417,0.001615242,0.339001268,0.995166558,0.190727144,0.121624682,0.08002295,108.461,0.849798447,0.258233,0.247188571,0.183638,0,0.545,1
42,27573,0,0,263747,151,1709,0.911055356,0.665810203,0.969149769,0.952696397,0.113023205,0.105210398,175.027,0.847034327,0.258233,0.247188571,0.183638,0,0,1
43,27574,0,0,260829,172,1145,0.904076748,0.83638852,0.598665815,0.946594953,0.122432309,0.061830366,119.998,0.572521761,0.258233,0.247188571,0.183638,0,0,0
44,27575,0,0,228508,186,825,0.957937481,0.794303951,0.638319721,0.940044947,0.079152342,0.075403118,130.013,0.98429155,0.258233,0.247188571,0.183638,0.661,0,0
45,27576,0,0,229929,261,762,0.009270446,0.789783828,0.882787449,0.837932372,0.242562761,0.129941637,154.031,0.706272525,0.258233,0.247188571,0.183638,0,0,0
95,28804,33.2148412,-97.1330683,256000,284,249,0.072219478,0.374002499,0.739401429,0.888691698,0.272090497,0.08743819,216.167,0.287798148,0.303426,0.290448701,0.265922,0,0,0
146,29263,0,0,320000,146,931,0.133976219,0.661134161,0.592499197,0.906860706,0.0937179,0.039369099,104.995,0.326763063,0.222553,0.213034578,0.228767,0.706,0,0
157,29765,43.8461111,20.0355556,320000,433,238,0.617788332,0.727380493,0.78546239,0.872471972,0.061301142,0.239266685,129.162,0.961909464,0.302062,0.289143039,0.318282,0,0,0
158,29766,43.8461111,20.0355556,320000,54,193,0.992762901,0.416600565,0.08686224,0.073352592,0.096794733,0.039460527,150.804,0.621078938,0.302062,0.289143039,0.318282,0,0,0
159,29767,43.8461111,20.0355556,320000,281,327,0.323709012,0.689197513,0.491536341,0.78698556,0.047034134,0.364445516,138.441,0.102274301,0.302062,0.289143039,0.318282,0,0,0
160,29769,43.8461111,20.0355556,320000,355,169,0.242325231,0.432492366,0.322404707,0.829397054,0.390207549,0.230364497,90.432,0.268099192,0.302062,0.289143039,0.318282,0,0.324,0
161,29770,43.8461111,20.0355556,320000,220,233,0.045642012,0.444832138,0.553318741,0.370676559,0.338253354,0.082423293,133.568,0.927133704,0.302062,0.289143039,0.318282,0,0,0
182,30178,47.6062095,-122.3320708,192000,1044,1271,0.977499385,0.240150896,0.485076719,0.890676538,0.35893132,0.068654728,95.57,0.149938101,0.193943,0.185648206,0.255574,0,0,1
183,30179,47.6062095,-122.3320708,192000,2181,48,0.838742708,0.489062622,0.081531507,0.602159255,0.112747343,0.473576041,69.583,0.545482661,0.193943,0.185648206,0.255574,0,0,0
194,30302,0,0,320000,368,610,0.030667259,0.511545374,0.874173341,0.906566922,0.160671959,0.03621991,89.947,0.163466117,0.269723,0.258187153,0.275179,0.392,0.412,0
195,30303,0,0,320000,260,956,0.82271225,0.531898548,0.45301888,0.904492313,0.113643429,0.028336292,140.058,0.065640183,0.152719,0.146187325,0.066593,0,0,0
196,30304,45.5086699,-73.5539925,320000,236,738,0.279656203,0.521830318,0.545323797,0.857277409,0.120436547,0.029306333,86.761,0.081297912,0.156123,0.149445738,0.249981,0.75,0,0
197,30305,45.5086699,-73.5539925,320000,202,1154,0.114449856,0.384626508,0.76890414,0.90723378,0.135310151,0.03397003,149.875,0.120542032,0.360762,0.345332484,0.305359,0,0,1
198,30306,0,0,320000,230,771,0.014852639,0.808960791,0.375710561,0.924053967,0.111481532,0.106922259,87.516,0.22099571,0.269461,0.257936358,0.239756,0,0,0
199,30307,0,0,320000,367,669,0.003281633,0.823630287,0.595312245,0.922957347,0.3465177,0.083004467,115.044,0.084529255,0.356647,0.34139348,0.257996,0.714,0,0
200,30309,0,0,320000,268,1449,0.759658129,0.340876246,0.4868453,0.92028435,0.112477414,0.031675905,140.028,0.03429114,0.069796,0.066810878,0.042388,0,0,1
201,30310,0,0,320000,409,1151,0.051897679,0.638512492,0.56407814,0.283223884,0.191325549,0.270213596,135.042,0.339624396,0.416234,0.368077422,0.457493,0,0,1
202,30315,0,0,320000,361,1392,0.946255027,0.495384194,0.159951991,0.931037847,0.104952304,0.03286536,58.589,0.035763594,0.076103,0.072848133,0.106767,1,0,1
