Z,track_ID,latitude,longitude,bit_rate,duration,track_listens,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_hotttnesss,artist_discovery,artist_familiarity,senti neg,senti pos,popular
4,27223,41.87194,12.56738,320000,209,260,0.403708029,0.679438214,0.732271232,0.751735226,0.347895294,0.033102901,124.293,0.826063122,0.414522,0.39679321,0.296588,0,0,0
5,27224,41.87194,12.56738,320000,126,527,0.717225495,0.824879653,0.751835635,2.60E-05,0.740279746,0.032930922,101.525,0.916406219,0.414522,0.39679321,0.296588,0,0.787,0
6,27225,41.87194,12.56738,320000,316,486,0.819992425,0.521224185,0.622386824,0.580329784,0.134474637,0.032132516,87.619,0.522447058,0.414522,0.39679321,0.296588,0,0,0
7,27226,41.87194,12.56738,320000,246,305,0.225265999,0.528901779,0.888958928,0.841719729,0.151935578,0.031742774,151.781,0.786265871,0.414522,0.39679321,0.296588,0,0,0
8,27227,41.87194,12.56738,320000,129,838,0.876226296,0.520132349,0.330530261,0.015865206,0.092280261,0.037733095,134.329,0.821668242,0.414522,0.39679321,0.296588,0.706,0,0
9,27228,41.87194,12.56738,320000,242,206,0.437719076,0.642101584,0.655127835,0.832360221,0.076605361,0.02847636,124.391,0.839296765,0.414522,0.39679321,0.296588,0,0,0
10,27229,41.87194,12.56738,320000,224,191,0.786851372,0.405535035,0.845438899,0.726166339,0.120121441,0.031651885,171.405,0.708844474,0.414522,0.39679321,0.296588,0,0,0
11,27230,41.87194,12.56738,320000,277,323,0.770049171,0.544216839,0.858289775,0.818411846,0.105816706,0.033174322,121.341,0.796008084,0.414522,0.39679321,0.296588,0,0,0
12,27231,41.87194,12.56738,320000,283,343,0.742721799,0.611653352,0.565375922,0.914586191,0.18389277,0.025386081,101.126,0.801923557,0.414522,0.39679321,0.296588,0,0,0
13,27232,41.87194,12.56738,320000,165,310,0.807065471,0.733219273,0.502305817,5.80E-05,0.081044406,0.04403289,115.512,0.420812422,0.414522,0.39679321,0.296588,0,0,0
14,27233,41.87194,12.56738,320000,132,333,0.836743183,0.61339287,0.589247496,0.476411506,0.088208002,0.047388215,104.237,0.936457376,0.414522,0.39679321,0.296588,0,0,0
15,27235,41.87194,12.56738,320000,244,781,0.121784213,0.543448258,0.533597949,0.148429808,0.074395206,0.031488227,123.037,0.91547456,0.414522,0.39679321,0.296588,0,0,0
16,27419,44.61004,-87.438579,192000,252,164,0.910130964,0.23118133,0.606538098,0.960820079,0.107344643,0.035601581,149.344,0.148724418,0.268346,0.256869046,0.23574,0.756,0,0
17,27420,44.61004,-87.438579,192000,167,526,0.071312589,0.201191429,0.713730406,0.903560059,0.9544251,0.051955155,167.811,0.065613342,0.268346,0.256869046,0.23574,0,0,0
18,27421,44.61004,-87.438579,192000,230,279,0.025463808,0.245523181,0.422380877,0.938010649,0.441008827,0.03879467,149.96,0.439875731,0.268346,0.256869046,0.23574,0,0.481,0
19,27422,44.61004,-87.438579,192000,167,132,0.389920458,0.190577316,0.701980239,0.896763852,0.121223911,0.04713914,160.584,0.036926255,0.268346,0.256869046,0.23574,0,0,0
20,27423,44.61004,-87.438579,192000,242,190,0.308639009,0.211523421,0.472938033,0.969838442,0.146602451,0.037923335,158.118,0.212254753,0.268346,0.256869046,0.23574,0,0.63,0
21,27424,44.61004,-87.438579,192000,270,180,0.48324381,0.340597311,0.529918615,0.951242368,0.658122277,0.044139356,131.405,0.145830915,0.268346,0.256869046,0.23574,0.367,0,0
22,27425,44.61004,-87.438579,192000,375,108,0.750543697,0.141029038,0.670888774,0.871111816,0.155963443,0.060715546,159.947,0.082897346,0.268346,0.256869046,0.23574,0,0,0
23,27426,44.61004,-87.438579,192000,149,395,0.003407967,0.224313681,0.491851806,0.93448521,0.123098241,0.045683126,146.554,0.328908358,0.268346,0.256869046,0.23574,0,0.348,0
24,27427,44.61004,-87.438579,192000,280,213,0.001765327,0.219867843,0.392385382,0.918890513,0.108673903,0.040028355,95.841,0.636088408,0.268346,0.256869046,0.23574,0,0.394,0
25,27428,44.61004,-87.438579,192000,253,150,0.000610558,0.291028587,0.387089427,0.949427784,0.123848582,0.033909932,147.507,0.571633457,0.268346,0.256869046,0.23574,0,0,0
26,27429,44.61004,-87.438579,192000,179,173,0.893372505,0.358645212,0.597225008,0.944455435,0.125224064,0.030609065,84.613,0.688184964,0.268346,0.256869046,0.23574,0.714,0,0
27,27430,44.61004,-87.438579,192000,209,428,0.426377619,0.261970315,0.558234874,0.756157522,0.153770695,0.047492059,146.641,0.275670357,0.268346,0.256869046,0.23574,0,0,0
46,27604,59.9395237,30.3120206,256000,414,863,0.025237475,0.438264495,0.733148303,0.946650891,0.198499922,0.039520578,122.88,0.347207871,0.475845,0.455493472,0.360845,0.279,0.372,0
47,27605,59.9395237,30.3120206,256000,361,1429,0.000730962,0.488368863,0.701004007,0.844272483,0.172175674,0.029309747,124.633,0.21219907,0.475845,0.455493472,0.360845,0,0.444,1
48,27606,59.9395237,30.3120206,256000,256,1020,0.000355637,0.233241877,0.820360609,0.886642457,0.135929935,0.034208283,168.414,0.412272039,0.475845,0.455493472,0.360845,0,0,0
49,27607,59.9395237,30.3120206,256000,163,1266,0.575337837,0.844497128,0.454837987,0.780292947,0.076708002,0.064395717,130.051,0.352130738,0.475845,0.455493472,0.360845,0,0,1
50,27608,59.9395237,30.3120206,256000,356,1162,9.80E-05,0.341817982,0.843256101,0.843007194,0.0563037,0.036033339,124.211,0.184347625,0.475845,0.455493472,0.360845,0,0,1
55,27787,40.6084305,-75.4901833,256000,446,1431,0.972124451,0.150626624,0.920365486,0.936760607,0.169375101,0.117230098,131.756,0.037503447,0.55008,0.454312882,0.505546,0,0.333,1
56,27788,40.6084305,-75.4901833,256000,606,2128,0.860893211,0.130970279,0.921886093,0.932885173,0.202699908,0.072167254,154.772,0.055414048,0.55008,0.454312882,0.505546,0.535,0,1
57,27789,40.6084305,-75.4901833,256000,625,4015,0.978751046,0.076241837,0.926649859,0.958395529,0.114358992,0.129872871,77.295,0.039630936,0.55008,0.454312882,0.505546,0.22,0.247,1
94,28803,46.227638,2.213749,320000,196,362,0.920277526,0.381400658,0.45283328,0.957974554,0.283875135,0.040415187,69.117,0.076718808,0.184195,0.17631712,0.194619,0,0.512,0
97,28810,40.6766877,-73.904507,320000,354,164,2.90E-05,0.295659415,0.836153824,0.55408757,0.292123585,0.065682268,128.303,0.229900883,0.302292,0.289363202,0.179754,0,0,0
98,28811,40.6766877,-73.904507,320000,237,93,0.057076298,0.375070637,0.843334307,0.189359572,0.11140341,0.030917787,153.092,0.531875084,0.302292,0.289363202,0.179754,0,0,0
147,29264,0,0,320000,243,304,0.051890552,0.595310933,0.655859976,0.044192618,0.262765812,0.049304754,137,0.440846039,0.394083,0.37722837,0.326134,0,0.583,0
151,29496,0,0,320000,262,590,0.906563717,0.652153929,0.325657768,0.921881428,0.084338978,0.048323023,145.106,0.73458016,0.391813,0.375055457,0.344523,0.379,0.621,0
152,29497,0,0,320000,157,121,0.678483973,0.707758227,0.220954586,0.858886978,0.097671295,0.062521766,118.148,0.77130322,0.391813,0.375055457,0.344523,0,0,0
153,29498,0,0,320000,206,453,0.660957968,0.398554993,0.400143084,0.881695694,0.111681,0.031538335,175.6,0.29894665,0.391813,0.375055457,0.344523,0.577,0,0
154,29499,0,0,320000,325,233,0.99004936,0.27703731,0.132577372,0.801433469,0.182393686,0.046008571,77.215,0.042911113,0.391813,0.375055457,0.344523,0,0,0
155,29621,37.7749295,-122.4194155,256000,166,978,0.965496452,0.349327044,0.654706011,0.930086253,0.465340537,0.057999701,121.062,0.56433003,0.540969,0.460172964,0.485004,0,0,0
156,29622,37.7749295,-122.4194155,256000,390,1500,0.934489958,0.300001839,0.825198753,0.966164858,0.471678097,0.04529997,88.35,0.429287613,0.540969,0.460172964,0.485004,0,0,1
162,29836,-7.797224,110.368797,128000,752,31865,0.086575301,0.340646933,0.646191542,0.893214665,0.145598777,0.043018254,88.457,0.167812008,0.309529,0.296290681,0.267539,0,0,1
163,29837,-7.797224,110.368797,128000,540,996,0.191792957,0.293737802,0.830819416,0.859266323,0.093191467,0.037953224,86.267,0.388983233,0.309529,0.296290681,0.267539,0,0,0
164,29838,40.65,-73.95,256000,581,557,9.22E-05,0.175825317,0.56746951,0.841768821,0.091831936,0.050037569,124.474,0.510495697,0.527265,0.445646167,0.489501,0,0.636,0
165,29839,40.65,-73.95,256000,495,1475,9.39E-05,0.118301028,0.558335711,0.88542757,0.118474502,0.045078046,72.098,0.430296463,0.527265,0.445646167,0.489501,0,0,1
